title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,room,day,start_time,end_time
Data Analysis and Visualization,DS3001,BDS-5C,Ms Bushra Rashid,3.0,BS,DS,DS,Core,False,CS-15,Tuesday,14:30,15:50
Software Quality Engineering,SE3002,BSE-5B,,3.0,BS,SE,SE,Core,False,CS-15,Tuesday,17:30,18:50
Technical and Business Writing,SS2007,BDS-5C,Ms. Nayyab Mufti,3.0,BS,DS,HSS,Core,False,CS-16,Tuesday,08:30,09:50
Numerical Computing,CS2008,BCS-5D,Dr. Syed Tauseef Saeed,3.0,BS,CS,CS,Core,False,CS-16,Tuesday,10:00,11:20
Theory of Automata,CS3005,BCS-5F,Mr. Hamadul Qudus,3.0,BS,CS,CS,Core,False,CS-16,Tuesday,11:30,12:50
Object Oriented Programming,CS1004,BSE-3A,Ms. Anosha Khan,3.0,BS,SE,CS,Core,True,CS-16,Tuesday,13:00,14:20
Applied Physics,NS1001,BCS-1C,Mr. Nazim Aslam,3.0,BS,CS,NS,Core,False,CS-16,Tuesday,14:30,15:50
Applied Physics,NS1001,BCS-1D,Mr. Nazim Aslam,3.0,BS,CS,NS,Core,False,CS-16,Tuesday,16:00,17:20
Discrete Structures,CS1005,BDS-3A,Dr. Saeeda Zia,3.0,BS,DS,CS,Core,False,Lib,Tuesday,08:30,09:50
Computer Networks,CS3001,BCS-5A,Mr. Ahmad Raza,3.0,BS,CS,CS,Core,False,Lib,Tuesday,10:00,11:20
Theory of Automata,CS3005,BCS-5D,Mr. Fraz Yousaf,3.0,BS,CS,CS,Core,False,Lib,Tuesday,11:30,12:50
Data Analysis and Visualization,DS3001,BDS-5B,Ms Bushra Rashid,3.0,BS,DS,DS,Core,False,Lib,Tuesday,13:00,14:20
Numerical Computing,CS2008,BCS-5H,Mr. Waqar Azeem,3.0,BS,CS,CS,Core,False,Lib,Tuesday,14:30,15:50
Artificial Intelligence,AI2002,BCS-7B,Dr. Hajra Waheed,3.0,BS,CS,CS,Core,True,Lib,Tuesday,16:00,17:20
Technical and Business Writing,SS2007,BCS-5A,Ms. Naima Chauhdary,3.0,BS,CS,HSS,Core,False,E&M-1,Tuesday,08:30,09:50
Theory of Automata,CS3005,BSR-5A,Mr. Irteza,3.0,BS,R,CS,Core,False,E&M-1,Tuesday,10:00,11:20
Functional English,SS1012,BCS-1C,Ms. Ayesha Saeed,2.0,BS,CS,HSS,Core,False,E&M-1,Tuesday,11:30,13:20
Operating Systems,CS2006,BSE-5B,Ms. Rubab Anum,3.0,BS,SE,CS,Core,False,E&M-1,Tuesday,14:30,15:50
Computer Networks,CS3001,BCS-5D,Dr. Arshad Ali,3.0,BS,CS,CS,Core,False,E&M-2,Tuesday,08:30,09:50
Computer Networks,CS3001,BCS-5C,Dr. Arshad Ali,3.0,BS,CS,CS,Core,False,E&M-2,Tuesday,11:30,12:50
Probability and Statistics,MT2005,BDS-3A,Ms. Kanwal Saleem,3.0,BS,DS,HSS,Core,False,E&M-2,Tuesday,13:00,14:20
Marketing Management,MG1002,BCS-3A,Mr. Saquib Bhatti,3.0,BS,CS,MG,Elective,False,E&M-2,Tuesday,14:30,15:50
Marketing Management,MG1002,BCS-3B,Mr. Saquib Bhatti,3.0,BS,CS,MG,Elective,False,E&M-2,Tuesday,16:00,17:20
Human Computer Interaction,CS2007,BSE-3A,Ms. Momna Zainab,3.0,BS,SE,SE,Core,False,E&M-3,Tuesday,11:30,12:50
Technical and Business Writing,SS2007,BCS-5M,Ms. Uzma Safdar,3.0,BS,CS,HSS,Core,False,E&M-3,Tuesday,14:30,15:50
Modern Politics and Government,SS2036,BSR-3A,Mr. Abdul Sattar,3.0,BS,R,HSS,Elctive,False,E&M-3,Tuesday,16:00,17:20
Software Requirements Engineering,SE2001,BSE-3C,Dr. Wafa Basit,3.0,BS,SE,CS,Core,False,E&M-4,Tuesday,11:30,12:50
Human Computer Interaction,CS2007,BSE-3B,Ms. Momna Zainab,3.0,BS,SE,SE,Core,False,E&M-4,Tuesday,13:00,14:20
Functional English,SS1012,BCS-1E,Dr. Wasim Hasan,2.0,BS,CS,HSS,Core,False,E&M-4,Tuesday,14:30,16:20
Calculus and Analytical Geometry,MT1003,BCS-1K,Ms. Mahnoor Badar,3.0,BS,CS,HSS,Core,False,E&M-5,Tuesday,08:30,09:50
Information Security,CS3002,BSE-7B,Dr. Rana Asif Rehman,3.0,BS,SE,CS,Core,False,E&M-5,Tuesday,10:00,11:20
Digital Logic Design,EE1005,BSR-3A,Ms. Mamona Akram,3.0,BS,R,CS,Core,True,E&M-5,Tuesday,11:30,12:50
Functional English,SS1012,BCS-1K,Ms. Aqsa Naz,2.0,BS,CS,HSS,Core,False,E&M-5,Tuesday,14:30,16:20
Calculus and Analytical Geometry,MT1003,BCS-1H,Mr. Tasaduque Hussain Shah,3.0,BS,CS,HSS,Core,False,E&M-11,Tuesday,08:30,09:50
Numerical Computing,CS2008,BCS-5B,Dr. Mubashir Qayyum,3.0,BS,CS,CS,Core,False,E&M-11,Tuesday,10:00,11:20
Probability and Statistics,MT2005,BSE-3A,Dr. Muhammad Javaid,3.0,BS,SE,HSS,Core,False,E&M-11,Tuesday,14:30,15:50
Probability and Statistics,MT2005,BSE-3B,Dr. Muhammad Javaid,3.0,BS,SE,HSS,Core,False,E&M-11,Tuesday,16:00,17:20
Calculus and Analytical Geometry,MT1003,BCS-1B,Mr. Muhammad Saleem Chishti,3.0,BS,CS,HSS,Core,False,CE-1,Tuesday,08:30,09:50
